observation_id,event_group_id,event_timestamp,gauge_name,gauge_latitude,gauge_longitude,gauge_river,gauge_district,flood_label,label_source,coverage_name,file_name,flood_pixel_count,valid_pixel_count,flood_pixel_percentage,flooded_area_km2,nearest_flood_distance_km,rain_station_name,rain_24h_mm,rain_72h_mm,rain_24h_records,river_stage_m,river_delta_24h_m,river_rate_of_rise_m_per_hr,river_24h_records,river_datum_status,telemetry_gap_flag,split_candidate,pool_source
BHUVAN_ASSAM_20220523_1800_FAKIRPARA,ASSAM_FLOOD_2022_05_FAKIRPARA_EP12,2022-05-23 18:00,NH15 Crossing Fakirpara Tangni,26.508333,92.116389,Tangni,Darrang,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2022_23_05_18,assam_2022_05_23_18hr_fakirpara.tif,744,262144,0.2838,1.256,3.27,Kampur,1.0,5.5,2,,,,16,RELATIVE_GAUGE_ZERO,True,Fold 3,TIER_1_CORE
BHUVAN_ASSAM_20220706_1800_BOKO,ASSAM_FLOOD_2022_07_BOKO_EP16,2022-07-06 18:00,NH17 Crossing Boko,25.9775,91.234167,Boko,Kamrup Metro,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2022_06_07_18,assam_2022_07_06_18hr_boko.tif,4261,262144,1.6254,7.226,2.04,Beki Road bridge,8.0,8.0,8,2.065,,,19,RELATIVE_GAUGE_ZERO,False,Fold 3,TIER_1_CORE
BHUVAN_ASSAM_20220708_0600_DHANSIRIGHAT,ASSAM_FLOOD_2022_07_DHANSIRIGHAT_EP01,2022-07-08 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2022_07-08_07_06,assam_2022_07_08_06hr_dhansirighat.tif,13539,262144,5.1647,22.823,,NT Road Crossing Jia-Bharali,48.0,48.0,1,2.378,0.069,0.0029,22,RELATIVE_GAUGE_ZERO,False,Fold 3,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20220713_0600_DHANSIRIGHAT,ASSAM_FLOOD_2022_07_DHANSIRIGHAT_EP01,2022-07-13 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2022_12-13_07,assam_2022_07_13_06hr_dhansirighat.tif,0,262144,0.0,0.0,,NT Road Crossing Jia-Bharali,192.0,215.0,1,2.345,0.038,0.0016,23,RELATIVE_GAUGE_ZERO,False,Fold 3,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20220717_1800_DHANSIRIGHAT,ASSAM_FLOOD_2022_07_DHANSIRIGHAT_EP01,2022-07-17 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2022_17_07_18,assam_2022_07_17_18hr_dhansirighat.tif,0,262144,0.0,0.0,,Gelabil,1.0,123.5,2,2.516,-0.058,-0.0024,24,RELATIVE_GAUGE_ZERO,False,Fold 3,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20230618_0600_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRIGHAT_EP02,2023-06-18 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2023_18_06_18,assam_2023_06_18_06hr_dhansirighat.tif,1371,262144,0.523,2.311,,DRF,56.0,73.0,17,1.908,0.172,0.0072,20,RELATIVE_GAUGE_ZERO,False,Fold 1,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20230620_1800_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRIGHAT_EP02,2023-06-20 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2023_20_06_18,assam_2023_06_20_18hr_dhansirighat.tif,764,262144,0.2914,1.288,,Beki Road bridge,83.5,271.5,14,0.802,-1.249,-0.052,24,RELATIVE_GAUGE_ZERO,False,Fold 1,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20230621_1800_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRIGHAT_EP02,2023-06-21 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2023_21_06_18,assam_2023_06_21_18hr_dhansirighat.tif,15157,262144,5.7819,25.551,,Beki Road bridge,16.5,193.0,5,1.464,0.224,0.0093,24,RELATIVE_GAUGE_ZERO,False,Fold 1,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20230623_1800_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRIGHAT_EP02,2023-06-23 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri,Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2023_23_06_18,assam_2023_06_23_18hr_dhansirighat.tif,21610,262144,8.2436,36.429,0.92,NT Road Crossing(Jiabharali),0.5,0.5,1,1.994,0.578,0.0241,24,RELATIVE_GAUGE_ZERO,False,Fold 1,TIER_1_CORE
BHUVAN_ASSAM_20230715_1800_FAKIRPARA,ASSAM_FLOOD_2023_07_FAKIRPARA_EP13,2023-07-15 18:00,NH15 Crossing Fakirpara Tangni,26.508333,92.116389,Tangni,Darrang,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2023_15_07_18,assam_2023_07_15_18hr_fakirpara.tif,0,262144,0.0,0.0,,Kampur,201.0,201.0,1,5.763,0.0,0.0,33,RELATIVE_GAUGE_ZERO,False,Fold 3,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20230720_0600_DHANSIRIGHAT,ASSAM_FLOOD_2023_07_DHANSIRIGHAT_EP03,2023-07-20 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri,Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2023_20_07_06,assam_2023_07_20_06hr_dhansirighat.tif,6,262144,0.0023,0.01,13.85,Gelabil,0.5,3.0,1,2.555,0.147,0.0061,24,RELATIVE_GAUGE_ZERO,False,Fold 4,TIER_1_CORE
BHUVAN_ASSAM_20230831_1800_BOKO,ASSAM_FLOOD_2023_08_BOKO_EP17,2023-08-31 18:00,NH17 Crossing Boko,25.9775,91.234167,Boko,Kamrup Metro,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2023_31_08_18,assam_2023_08_31_18hr_boko.tif,4449,262144,1.6972,7.545,6.26,Karimganj,5.0,163.0,10,6.528,0.073,0.003,22,RELATIVE_GAUGE_ZERO,False,Fold 4,TIER_1_CORE
BHUVAN_ASSAM_20240531_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_05_DHANSIRIGHAT_EP04,2024-05-31 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri,Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_31_05_18,assam_2024_05_31_18hr_dhansirighat.tif,0,262144,0.0,0.0,,DRF,2.0,36.0,2,3.258,0.108,0.0045,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 3,TIER_1_CORE
BHUVAN_ASSAM_20240607_1100_DHANSIRIGHAT,ASSAM_FLOOD_2024_05_DHANSIRIGHAT_EP04,2024-06-07 11:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri,Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_07_06_11,assam_2024_06_07_11hr_dhansirighat.tif,0,262144,0.0,0.0,,NT Road Crossing(Jiabharali),10.5,30.0,8,31.032,-0.026,-0.0011,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 3,TIER_1_CORE
BHUVAN_ASSAM_20240608_0600_DHANSIRIGHAT,ASSAM_FLOOD_2024_05_DHANSIRIGHAT_EP04,2024-06-08 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_08_06_06,assam_2024_06_08_06hr_dhansirighat.tif,0,262144,0.0,0.0,,NT Road Crossing(Jiabharali),4.0,31.0,6,30.954,-0.078,-0.0032,21,DATUM_RECLASSIFIED_LOCAL,False,Fold 3,PHASE_7H_EXPANSION
