observation_id,event_group_id,event_timestamp,gauge_name,rain_station,flood_occurrence,flood_pixel_count,flooded_km2,rainfall_6h,rainfall_24h,rainfall_72h,rainfall_168h,river_level_relative,river_rise_6h,river_rise_24h,river_percentile_level,month,day_of_year_sin,day_of_year_cos,latitude,longitude,elevation,slope,distance_to_river
BHUVAN_ASSAM_20220523_1800_FAKIRPARA,ASSAM_FLOOD_2022_05_FAKIRPARA_EP12,2022-05-23 18:00,NH15 Crossing Fakirpara Tangni,Kampur,1,744,1.254,0.5,1.0,5.5,22.5,,,,,5,0.63007,-0.77654,26.508333,92.116389,,,
BHUVAN_ASSAM_20220706_1800_BOKO,ASSAM_FLOOD_2022_07_BOKO_EP16,2022-07-06 18:00,NH17 Crossing Boko,Beki Road bridge,1,4261,7.18,4.0,8.0,8.0,136.5,0.208,-0.009,,0.45,7,-0.07519,-0.99717,25.9775,91.234167,,,
BHUVAN_ASSAM_20220708_0600_DHANSIRIGHAT,ASSAM_FLOOD_2022_07_DHANSIRIGHAT_EP01,2022-07-08 06:00,NH15 Crossing Dhansirighat,NT Road Crossing Jia-Bharali,1,13539,22.813,0.0,48.0,48.0,48.0,0.279,0.002,0.069,0.9623,7,-0.10945,-0.99399,26.695833,92.257778,,,
BHUVAN_ASSAM_20220713_0600_DHANSIRIGHAT,ASSAM_FLOOD_2022_07_DHANSIRIGHAT_EP01,2022-07-13 06:00,NH15 Crossing Dhansirighat,NT Road Crossing Jia-Bharali,0,0,0.0,0.0,192.0,215.0,263.0,0.945,-0.045,0.038,0.7778,7,-0.19443,-0.98092,26.695833,92.257778,,,
BHUVAN_ASSAM_20220717_1800_DHANSIRIGHAT,ASSAM_FLOOD_2022_07_DHANSIRIGHAT_EP01,2022-07-17 18:00,NH15 Crossing Dhansirighat,Gelabil,0,0,0.0,0.0,1.0,123.5,123.5,1.116,-0.112,-0.058,0.8327,7,-0.26141,-0.96523,26.695833,92.257778,,,
BHUVAN_ASSAM_20230618_0600_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRIGHAT_EP02,2023-06-18 06:00,NH15 Crossing Dhansirighat,DRF,1,1371,2.31,1.5,56.0,73.0,196.5,0.819,0.024,0.172,0.0218,6,0.23224,-0.97266,26.695833,92.257778,,,
BHUVAN_ASSAM_20230620_1800_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRIGHAT_EP02,2023-06-20 18:00,NH15 Crossing Dhansirighat,Beki Road bridge,1,764,1.287,57.5,83.5,271.5,454.0,0.33,0.33,-1.249,0.0037,6,0.19865,-0.98007,26.695833,92.257778,,,
BHUVAN_ASSAM_20230621_1800_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRIGHAT_EP02,2023-06-21 18:00,NH15 Crossing Dhansirighat,Beki Road bridge,1,15157,25.54,3.0,16.5,193.0,442.5,0.992,0.266,0.224,0.031,6,0.18176,-0.98334,26.695833,92.257778,,,
BHUVAN_ASSAM_20230623_1800_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRIGHAT_EP02,2023-06-23 18:00,NH15 Crossing Dhansirighat,NT Road Crossing(Jiabharali),1,21610,36.413,0.5,0.5,0.5,0.5,1.545,-0.017,0.578,0.088,6,0.14783,-0.98901,26.695833,92.257778,,,
BHUVAN_ASSAM_20230715_1800_FAKIRPARA,ASSAM_FLOOD_2023_07_FAKIRPARA_EP13,2023-07-15 18:00,NH15 Crossing Fakirpara Tangni,Kampur,0,0,0.0,201.0,201.0,201.0,201.0,4.762,0.0,0.0,0.9992,7,-0.22806,-0.97365,26.508333,92.116389,,,
BHUVAN_ASSAM_20230720_0600_DHANSIRIGHAT,ASSAM_FLOOD_2023_07_DHANSIRIGHAT_EP03,2023-07-20 06:00,NH15 Crossing Dhansirighat,Gelabil,1,6,0.01,0.0,0.5,3.0,14.0,2.106,-0.015,0.147,0.2668,7,-0.31086,-0.95046,26.695833,92.257778,,,
BHUVAN_ASSAM_20230831_1800_BOKO,ASSAM_FLOOD_2023_08_BOKO_EP17,2023-08-31 18:00,NH17 Crossing Boko,Karimganj,1,4449,7.497,1.5,5.0,163.0,177.5,6.521,0.028,0.073,0.6991,8,-0.86169,-0.50743,25.9775,91.234167,,,
