observation_id,event_group_id,event_timestamp,gauge_name,gauge_latitude,gauge_longitude,flood_label,label_source,flood_pixel_count,valid_pixel_count,flood_pixel_percentage,bbox_adequacy,pixel_semantics_verified,rainfall_available,river_level_available,rainfall_6h_records,rainfall_24h_records,rainfall_72h_records,rainfall_168h_records,river_6h_records,river_24h_records,river_72h_records,river_168h_records,river_datum_status,river_quality_flag,label_quality_status
BHUVAN_ASSAM_20220523_1800_FAKIRPARA,ASSAM_FLOOD_2022_05_FAKIRPARA,2022-05-23 18:00,NH15 Crossing Fakirpara Tangni,26.508333,92.116389,1,NRSC/ISRO Bhuvan Historical Flood Inundation,744,262144,0.2838,SUFFICIENT,True,True,True,1,2,12,44,1,8,15,44,RELATIVE_GAUGE_ZERO,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20220706_1800_BOKO,ASSAM_FLOOD_2022_07_BOKO,2022-07-06 18:00,NH17 Crossing Boko,25.9775,91.234167,1,NRSC/ISRO Bhuvan Historical Flood Inundation,4261,262144,1.6254,SUFFICIENT,True,True,True,5,8,8,25,7,19,19,19,RELATIVE_GAUGE_ZERO,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20230623_1800_DHANSIRIGHAT,ASSAM_FLOOD_2023_06_DHANSIRI,2023-06-23 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,1,NRSC/ISRO Bhuvan Historical Flood Inundation,21610,262144,8.2436,SUFFICIENT,True,True,True,1,1,1,1,7,25,73,153,RELATIVE_GAUGE_ZERO,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20230720_0600_DHANSIRIGHAT,ASSAM_FLOOD_2023_07_DHANSIRI,2023-07-20 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,1,NRSC/ISRO Bhuvan Historical Flood Inundation,6,262144,0.0023,SUFFICIENT,True,True,True,0,1,5,20,7,25,73,161,RELATIVE_GAUGE_ZERO,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20230831_1800_BOKO,ASSAM_FLOOD_2023_08_BOKO,2023-08-31 18:00,NH17 Crossing Boko,25.9775,91.234167,1,NRSC/ISRO Bhuvan Historical Flood Inundation,4449,262144,1.6972,SUFFICIENT,True,True,True,3,11,28,57,7,23,46,122,RELATIVE_GAUGE_ZERO,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20240531_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_05_PREMONSOON,2024-05-31 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,0,NRSC/ISRO Bhuvan Historical Flood Inundation,0,262144,0.0,SUFFICIENT,True,True,True,0,3,11,32,7,25,70,165,DATUM_RECLASSIFIED_LOCAL,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20240607_1100_DHANSIRIGHAT,ASSAM_FLOOD_2024_06_DHANSIRI_BASELINE,2024-06-07 11:00,NH15 Crossing Dhansirighat,26.695833,92.257778,0,NRSC/ISRO Bhuvan Historical Flood Inundation,0,262144,0.0,SUFFICIENT,True,True,True,4,9,20,34,7,25,73,167,DATUM_RECLASSIFIED_LOCAL,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20240708_1000_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRI,2024-07-08 10:00,NH15 Crossing Dhansirighat,26.695833,92.257778,1,NRSC/ISRO Bhuvan Historical Flood Inundation,613,262144,0.2338,SUFFICIENT,True,True,True,1,1,3,8,7,25,71,163,DATUM_RECLASSIFIED_LOCAL,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20240716_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRI,2024-07-16 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,1,NRSC/ISRO Bhuvan Historical Flood Inundation,3756,262144,1.4328,SUFFICIENT,True,True,True,0,1,2,4,7,25,73,153,DATUM_RECLASSIFIED_LOCAL,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20240720_0600_BOKO,ASSAM_FLOOD_2024_07_BOKO,2024-07-20 06:00,NH17 Crossing Boko,25.9775,91.234167,1,NRSC/ISRO Bhuvan Historical Flood Inundation,4275,262144,1.6308,SUFFICIENT,True,True,True,2,6,17,29,7,25,73,168,DATUM_RECLASSIFIED_LOCAL,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20250611_1000_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRI_EARLY,2025-06-11 10:00,NH15 Crossing Dhansirighat,26.695833,92.257778,0,NRSC/ISRO Bhuvan Historical Flood Inundation,0,262144,0.0,SUFFICIENT,True,True,True,0,1,1,4,7,25,73,169,MSL_NORMALIZED,CONTINUOUS_TELEMETRY,HIGH_CONFIDENCE
BHUVAN_ASSAM_20250628_1100_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRI_LATE,2025-06-28 11:00,NH15 Crossing Dhansirighat,26.695833,92.257778,0,NRSC/ISRO Bhuvan Historical Flood Inundation,0,262144,0.0,SUFFICIENT,True,True,True,0,2,5,14,0,17,66,83,MSL_NORMALIZED,TELEMETRY_GAP_AT_EVENT_HOUR,REVIEW_REQUIRED
